category,circuit,pi,po,latches,and_count,level_count,fanin_max,fanin_avg,fanout_avg,fanout_max,edges
arithmetic,adder,256,129,0,1020,255,2,2.00,1.62,3,2040.0
arithmetic,bar,135,128,0,3336,12,2,2.00,1.65,128,6672.0
arithmetic,div,128,128,0,57247,4372,2,2.00,1.85,121,114494.0
arithmetic,hyp,256,128,0,214335,24801,2,2.00,1.85,255,428670.0
arithmetic,log2,32,32,0,32060,444,2,2.00,1.92,119,64120.0
arithmetic,max,512,130,0,2865,287,2,2.00,1.52,257,5730.0
arithmetic,multiplier,128,128,0,27062,274,2,2.00,1.73,65,54124.0
arithmetic,sin,24,25,0,5416,225,2,2.00,1.99,84,10832.0
arithmetic,sqrt,128,64,0,24618,5058,2,2.00,1.98,126,49236.0
arithmetic,square,64,128,0,18484,250,2,2.00,1.77,40,36968.0
random_control,arbiter,256,129,0,11839,87,2,2.00,1.91,42,23678.0
random_control,cavlc,10,11,0,693,16,2,2.00,1.34,8,1386.0
random_control,ctrl,7,26,0,174,10,2,2.00,1.32,8,348.0
random_control,dec,8,256,0,304,3,2,2.00,2.74,16,608.0
random_control,i2c,147,142,0,1342,20,2,2.00,1.33,30,2684.0
random_control,int2float,11,7,0,260,16,2,2.00,1.12,4,520.0
random_control,mem_ctrl,1204,1231,0,46836,114,2,2.00,1.52,319,93672.0
random_control,priority,128,8,0,978,250,2,2.00,1.42,3,1956.0
random_control,router,60,30,0,257,54,2,2.00,1.47,4,514.0
random_control,voter,1001,1,0,13758,70,2,2.00,1.78,6,27516.0
