run_id,category,circuit,seq_type,seq_len,seq_str,init_and,init_lev,final_and,final_lev,runtime_s
8bf0e5b139f5,arithmetic,adder,reference,6,balance; rewrite; rewrite -z; balance; rewrite -z; balance,1020,255,1020,255,0.059
ed4f2f8ee59e,arithmetic,adder,reference,10,balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance,1020,255,1019,255,0.0438
a8fc8f78eb03,arithmetic,adder,random,10,rewrite; balance; refactor -z; refactor; refactor; rewrite -z; rewrite; rewrite; resub -z; balance,1020,255,893,255,0.0417
795be056cdf2,arithmetic,adder,random,10,balance; rewrite; refactor; refactor; balance; refactor; resub -z; refactor; dc2; refactor -z,1020,255,893,255,0.0494
3589793e85c1,arithmetic,adder,random,10,balance; rewrite -z; resub -z; resub; refactor -z; rewrite -z; refactor; resub; rewrite; rewrite,1020,255,893,255,0.0451
07afcaff3dd9,arithmetic,adder,random,10,resub -z; rewrite; resub; resub; refactor -z; balance; dc2; rewrite; resub -z; rewrite,1020,255,893,255,0.0475
f9af38771bb0,arithmetic,adder,random,10,refactor -z; resub; refactor; rewrite; balance; refactor; refactor -z; rewrite; refactor; rewrite,1020,255,1017,255,0.0417
96510aaead63,arithmetic,adder,random,10,resub -z; refactor -z; dc2; resub; rewrite -z; resub; resub; refactor; refactor -z; rewrite,1020,255,893,255,0.0505
f8a6b6bb51a7,arithmetic,adder,random,10,rewrite -z; refactor; rewrite -z; dc2; resub -z; refactor -z; refactor; resub; balance; refactor,1020,255,897,255,0.0505
724fffa84f97,arithmetic,adder,random,10,balance; resub; resub -z; refactor -z; rewrite; refactor; resub; refactor; dc2; resub -z,1020,255,893,255,0.0489
d66279d3a3c8,arithmetic,adder,random,10,dc2; rewrite -z; refactor -z; rewrite -z; refactor; refactor -z; resub -z; resub -z; resub; refactor,1020,255,1017,255,0.0504
880ab2a2604d,arithmetic,adder,random,10,rewrite -z; dc2; rewrite; balance; rewrite; rewrite -z; rewrite -z; resub -z; rewrite; resub -z,1020,255,1018,255,0.0527
a44b5b3411f1,arithmetic,adder,random,10,resub -z; dc2; refactor -z; balance; rewrite; refactor -z; resub; rewrite; refactor -z; resub -z,1020,255,893,255,0.0506
