circuit,mffc_mean,mffc_large_frac,multifanout_frac,cut4_mean,critical_cone_frac,balance_ratio
adder,1.5,0.0,0.4980392156862745,4.614705882352941,0.06372549019607843,31.875
bar,2.2278177458033572,0.11510791366906475,0.19424460431654678,5.146282973621103,0.11510791366906475,1.5
div,1.9945499327475675,0.09944625919262144,0.4965849738850944,5.845581427847748,0.08997851415794714,624.5714285714286
hyp,2.170555438915716,0.04360463760001866,0.6140900926120325,5.630802248816106,0.033568945809130564,3100.125
log2,3.735495945102932,0.22398627573300062,0.3819713038053649,5.962538989394885,0.004959451029320025,88.8
max,32.345549738219894,0.187434554973822,0.16579406631762653,5.0904013961605585,0.14415357766143105,31.88888888888889
multiplier,2.265279728031927,0.14836301825437884,0.42646515409060676,5.876394944941246,0.0021801788485699505,39.142857142857146
sin,3.119830132939439,0.1883308714918759,0.3929098966026588,5.961041358936485,0.024741506646971934,45.0
sqrt,2.1919733528312615,0.08181005768137135,0.3434478836623609,5.966528556340889,0.0881875050775855,722.5714285714286
square,1.6286518069681888,0.024291278943951524,0.5402510279160355,5.451255139580177,0.003570655702228955,41.666666666666664
arbiter,39.641270377565675,0.8770166399189121,0.054058619815862824,5.770250865782583,0.09730551566855308,10.875
cavlc,7.434343434343434,0.3347763347763348,0.1717171717171717,4.692640692640692,0.01443001443001443,4.0
ctrl,2.425287356321839,0.11494252873563218,0.20114942528735633,5.0344827586206895,0.022988505747126436,3.3333333333333335
dec,1.0,0.0,0.15789473684210525,5.684210526315789,0.8421052631578947,1.0
i2c,4.2988077496274215,0.27049180327868855,0.11922503725782414,4.636363636363637,0.0022354694485842027,2.5
int2float,6.657692307692308,0.36153846153846153,0.09230769230769231,4.188461538461539,0.007692307692307693,4.0
mem_ctrl,8.038453326500981,0.22072764540097362,0.1906653001964301,5.336535997950294,0.005145614484584508,10.363636363636363
priority,2.9693251533742333,0.07975460122699386,0.3507157464212679,5.280163599182004,0.03885480572597137,35.714285714285715
router,8.431906614785992,0.4163424124513619,0.3151750972762646,4.7587548638132295,0.03501945525291829,9.0
voter,2.726122982991714,0.03626980665794447,0.4922953917720599,5.443305713039686,0.0010902747492368076,7.0
