family,L,structural,exclude_hyp,max_depth_selected,spearman_mean,spearman_std,mape_mean,mape_std,train_time_s,n_parameters,best_params
xgboost,5,False,True,11,0.9484598776716163,0.0006003351598179264,0.6790184179941813,0.0058132127257892775,3.7068312000004275,309798,"{""max_depth"": 11, ""learning_rate"": 0.028933662098390767, ""n_estimators"": 365, ""subsample"": 0.9161299006976005, ""colsample_bytree"": 0.902382178748401, ""min_child_weight"": 3.192427136617871, ""reg_lambda"": 0.014233523270429193}"
lightgbm,5,False,True,9,0.9172487077048497,0.00028436577904384345,0.9569918115933737,0.005280546620455585,1.7237836666663497,22422,"{""max_depth"": 9, ""learning_rate"": 0.14230869821071723, ""n_estimators"": 368, ""subsample"": 0.72945788776917, ""colsample_bytree"": 0.7843705979764468, ""min_child_weight"": 1.5201277525201367, ""reg_lambda"": 0.0028715758625046375}"
xgboost,5,True,True,11,0.9487643409957229,0.00029750189458738934,0.6588967442512512,0.00407246144118767,4.47461203333296,318287,"{""max_depth"": 11, ""learning_rate"": 0.028933662098390767, ""n_estimators"": 365, ""subsample"": 0.9161299006976005, ""colsample_bytree"": 0.902382178748401, ""min_child_weight"": 3.192427136617871, ""reg_lambda"": 0.014233523270429193}"
lightgbm,5,True,True,12,0.9205213531968063,0.0014546504602387085,0.9280557831128439,0.002928823281558946,1.817352633332727,23973,"{""max_depth"": 12, ""learning_rate"": 0.1449146502165535, ""n_estimators"": 393, ""subsample"": 0.5640568163377729, ""colsample_bytree"": 0.7251929689477836, ""min_child_weight"": 3.0368221041280936, ""reg_lambda"": 5.094011902587738}"
xgboost,10,False,True,11,0.8401113340718291,0.004013701349764746,1.200007955233256,0.002994526888410777,6.035022533334389,457537,"{""max_depth"": 11, ""learning_rate"": 0.01938674832256957, ""n_estimators"": 401, ""subsample"": 0.7333605018635171, ""colsample_bytree"": 0.5219018828936144, ""min_child_weight"": 1.5875786769768325, ""reg_lambda"": 0.5397539297668067}"
lightgbm,10,False,True,15,0.7832814465893218,0.00461161336897354,1.4137821197509766,0.00691754131823673,1.919435799999216,19032,"{""max_depth"": 15, ""learning_rate"": 0.032536344732155796, ""n_estimators"": 312, ""subsample"": 0.7954577457407084, ""colsample_bytree"": 0.5114019355148487, ""min_child_weight"": 17.66502632809127, ""reg_lambda"": 0.08495985211233269}"
xgboost,10,True,True,11,0.8450637523230959,0.00039405108419149343,1.1662826935450237,0.0030159559899678393,5.411922133333671,386689,"{""max_depth"": 11, ""learning_rate"": 0.028933662098390767, ""n_estimators"": 365, ""subsample"": 0.9161299006976005, ""colsample_bytree"": 0.902382178748401, ""min_child_weight"": 3.192427136617871, ""reg_lambda"": 0.014233523270429193}"
lightgbm,10,True,True,8,0.7816244225650876,0.002468812103704983,1.3710404237111409,0.002643623175052286,1.801776900000429,21411,"{""max_depth"": 8, ""learning_rate"": 0.049643937377696366, ""n_estimators"": 351, ""subsample"": 0.7826180532405944, ""colsample_bytree"": 0.8824994287080128, ""min_child_weight"": 6.695570282284188, ""reg_lambda"": 0.16380139747479305}"
xgboost,15,False,True,11,0.7331532672064162,0.0018237261179719314,1.2462886571884155,0.001745986155923963,5.680570766666885,368177,"{""max_depth"": 11, ""learning_rate"": 0.028933662098390767, ""n_estimators"": 365, ""subsample"": 0.9161299006976005, ""colsample_bytree"": 0.902382178748401, ""min_child_weight"": 3.192427136617871, ""reg_lambda"": 0.014233523270429193}"
lightgbm,15,False,True,15,0.6769605205428088,0.0005627632007741756,1.3781847556432087,0.0018689064527821339,2.00066296666652,26474,"{""max_depth"": 15, ""learning_rate"": 0.022159348459209697, ""n_estimators"": 434, ""subsample"": 0.529151370844533, ""colsample_bytree"": 0.6406919460109983, ""min_child_weight"": 2.409762742246378, ""reg_lambda"": 0.4442895095455176}"
xgboost,15,True,True,11,0.7299464528002008,0.002171574980755564,1.260850191116333,0.0007702121146408997,5.712406533333706,397846,"{""max_depth"": 11, ""learning_rate"": 0.028933662098390767, ""n_estimators"": 365, ""subsample"": 0.9161299006976005, ""colsample_bytree"": 0.902382178748401, ""min_child_weight"": 3.192427136617871, ""reg_lambda"": 0.014233523270429193}"
lightgbm,15,True,True,8,0.6749320277493182,0.003737060304855443,1.3562171061833699,0.0024961038333810113,1.8443434666666387,21411,"{""max_depth"": 8, ""learning_rate"": 0.049643937377696366, ""n_estimators"": 351, ""subsample"": 0.7826180532405944, ""colsample_bytree"": 0.8824994287080128, ""min_child_weight"": 6.695570282284188, ""reg_lambda"": 0.16380139747479305}"
