run_id,category,circuit,seq_type,seq_len,seq_str,init_and,init_lev,final_and,final_lev,runtime_s
8bf0e5b139f5,arithmetic,adder,reference,6,balance; rewrite; rewrite -z; balance; rewrite -z; balance,1020,255,1020,255,0.0361
ed4f2f8ee59e,arithmetic,adder,reference,10,balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance,1020,255,1019,255,0.041
d489c2e34410,arithmetic,adder,random,5,rewrite; balance; refactor -z; refactor; refactor,1020,255,1019,255,0.035
96ceb17ed688,arithmetic,adder,random,5,rewrite -z; rewrite; rewrite; resub -z; balance,1020,255,894,255,0.0374
96ddccddd3e2,arithmetic,adder,random,5,balance; rewrite; refactor; refactor; balance,1020,255,1019,255,0.0345
bc3ee2f88d67,arithmetic,adder,random,5,refactor; resub -z; refactor; dc2; refactor -z,1020,255,893,255,0.0294
20dd802bc8ff,arithmetic,adder,random,5,balance; rewrite -z; resub -z; resub; refactor -z,1020,255,893,255,0.0364
4e010b86c29d,arithmetic,adder,random,5,rewrite -z; refactor; resub; rewrite; rewrite,1020,255,893,255,0.0369
999804878243,arithmetic,adder,random,5,resub -z; rewrite; resub; resub; refactor -z,1020,255,893,255,0.0366
ea55d6f07410,arithmetic,adder,random,5,balance; dc2; rewrite; resub -z; rewrite,1020,255,1017,255,0.043
ac63beeb3461,arithmetic,adder,random,5,refactor -z; resub; refactor; rewrite; balance,1020,255,1017,255,0.0369
0c9b19a69a03,arithmetic,adder,random,5,refactor; refactor -z; rewrite; refactor; rewrite,1020,255,1019,255,0.0361
6077d1165308,arithmetic,adder,random,5,resub -z; refactor -z; dc2; resub; rewrite -z,1020,255,893,255,0.0423
b51c7668630f,arithmetic,adder,random,5,resub; resub; refactor; refactor -z; rewrite,1020,255,893,255,0.0381
429e8c9b3394,arithmetic,adder,random,5,rewrite -z; refactor; rewrite -z; dc2; resub -z,1020,255,1019,255,0.0433
7639e76984ca,arithmetic,adder,random,5,refactor -z; refactor; resub; balance; refactor,1020,255,1017,255,0.02
9047e005434b,arithmetic,adder,random,5,balance; resub; resub -z; refactor -z; rewrite,1020,255,893,255,0.0363
80517e752f5f,arithmetic,adder,random,5,refactor; resub; refactor; dc2; resub -z,1020,255,893,255,0.0274
3559843c9f10,arithmetic,adder,random,5,dc2; rewrite -z; refactor -z; rewrite -z; refactor,1020,255,1019,255,0.046
d403417dfc7c,arithmetic,adder,random,5,refactor -z; resub -z; resub -z; resub; refactor,1020,255,1017,255,0.0211
584088ab802d,arithmetic,adder,random,5,rewrite -z; dc2; rewrite; balance; rewrite,1020,255,1019,255,0.0452
1ee60cf02cf9,arithmetic,adder,random,5,rewrite -z; rewrite -z; resub -z; rewrite; resub -z,1020,255,1019,255,0.0377
44c74810189d,arithmetic,adder,random,5,resub -z; dc2; refactor -z; balance; rewrite,1020,255,893,255,0.0417
013f9ac6b350,arithmetic,adder,random,5,refactor -z; resub; rewrite; refactor -z; resub -z,1020,255,893,255,0.0359
81656387f38e,arithmetic,adder,random,5,rewrite -z; dc2; balance; refactor -z; rewrite -z,1020,255,1019,255,0.0447
b7bc0f134563,arithmetic,adder,random,5,rewrite; refactor -z; refactor; rewrite -z; resub,1020,255,893,255,0.0366
d86e5e0ebd49,arithmetic,adder,random,5,rewrite -z; balance; resub; dc2; balance,1020,255,893,255,0.0402
f9c94bbd9b0a,arithmetic,adder,random,5,rewrite; resub; refactor -z; refactor; balance,1020,255,893,255,0.0391
25b05d432890,arithmetic,adder,random,5,refactor; rewrite; rewrite; dc2; rewrite,1020,255,1019,255,0.0451
0fd9dd076cce,arithmetic,adder,random,5,rewrite -z; rewrite -z; dc2; rewrite -z; refactor -z,1020,255,1019,255,0.0451
9cc1f31e2f89,arithmetic,adder,random,5,resub -z; refactor; refactor; refactor -z; resub -z,1020,255,893,255,0.0258
60caf410a261,arithmetic,adder,random,5,resub; dc2; dc2; rewrite; refactor,1020,255,893,255,0.0479
2d32d386767c,arithmetic,adder,random,5,refactor; rewrite; resub; balance; refactor,1020,255,893,255,0.0373
8778b7b6ee2e,arithmetic,adder,random,5,refactor; balance; rewrite; balance; refactor,1020,255,1019,255,0.0342
b1065269dd11,arithmetic,adder,random,5,rewrite; balance; resub; rewrite; refactor,1020,255,893,255,0.0375
6ad2f1920e7a,arithmetic,adder,random,5,refactor -z; dc2; refactor; rewrite -z; dc2,1020,255,1019,255,0.0516
96c295ccd6cc,arithmetic,adder,random,5,refactor; dc2; resub -z; refactor; rewrite,1020,255,1017,255,0.0656
96e548dd43e9,arithmetic,adder,random,5,rewrite; resub -z; resub; resub -z; resub -z,1020,255,894,255,0.0476
09cf362eed45,arithmetic,adder,random,5,dc2; balance; rewrite; balance; resub -z,1020,255,1017,255,0.0495
e78446d01e76,arithmetic,adder,random,5,resub; rewrite; refactor; refactor; refactor,1020,255,893,255,0.0416
54e5d46a02cf,arithmetic,adder,random,5,dc2; rewrite -z; resub -z; rewrite -z; refactor -z,1020,255,893,255,0.0485
b3e8f991652a,arithmetic,adder,random,5,dc2; refactor; rewrite; dc2; rewrite,1020,255,1019,255,0.0518
120a03568ac3,arithmetic,adder,random,5,balance; balance; rewrite; refactor; rewrite -z,1020,255,1019,255,0.0367
c77efa5f13d3,arithmetic,adder,random,5,resub -z; dc2; dc2; refactor; resub -z,1020,255,893,255,0.0341
700aa86297c0,arithmetic,adder,random,5,balance; rewrite -z; resub -z; balance; resub -z,1020,255,894,255,0.0378
